player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Marvin Friedrich,2025,28.0,DF,Bundesliga,3500000.0,14.68784725359558,2392493.859208076,-1107506.1407919242
Lilian Brassier,2024,24.0,DF,Ligue 1,12000000.0,16.203511907590684,10891702.467320453,-1108297.5326795466
Jordan Zemura,2024,24.0,DF,Serie A,5000000.0,15.174016448076992,3890375.307556682,-1109624.6924433182
Malick Thiaw,2021,18.0,DF,Bundesliga,3500000.0,14.686940967215124,2390326.5559489215,-1109673.4440510785
Christian Eriksen,2024,32.0,MF,Premier League,8000000.0,15.745089325584726,6886607.767928535,-1113392.2320714649
Joseba ZaldÃºa,2022,29.0,DF,La Liga,4000000.0,14.875258882379317,2885643.6515653976,-1114356.3484346024
Javier MuÃ±oz,2024,29.0,MF,La Liga,3000000.0,14.449456657943601,1885033.4563794953,-1114966.5436205047
Alejandro Garnacho,2022,17.0,FW,Premier League,3000000.0,14.44870913690106,1883624.8799932722,-1116375.1200067278
Anthony Modeste,2020,31.0,FW,Bundesliga,2800000.0,14.33574161715199,1682415.3425451396,-1117584.6574548604
Matteo Cancellieri,2023,20.0,FW,Serie A,5000000.0,15.171634955532511,3881121.4287802847,-1118878.5712197153
Jann-Fiete Arp,2020,19.0,FW,Bundesliga,2000000.0,13.688787552829826,880976.6650931592,-1119023.3349068407
Keven Schlotterbeck,2022,24.0,DF,Bundesliga,3000000.0,14.446936014912186,1880287.9408010398,-1119712.0591989602
Gvidas Gineitis,2025,20.0,MF,Serie A,4000000.0,14.870947766331765,2873230.0800005523,-1126769.9199994477
Javier Manquillo,2024,30.0,DF,Premier League,1800000.0,13.415424980601658,670261.6842684605,-1129738.3157315394
Wuilker FarÃ­Ã±ez,2021,22.0,GK,Ligue 1,2500000.0,14.13030698847219,1369979.3963552571,-1130020.6036447429
Pierre Lees-Melou,2025,31.0,MF,Ligue 1,8000000.0,15.742632085867985,6869706.493096414,-1130293.506903586
Philipp Hofmann,2023,29.0,FW,Bundesliga,2800000.0,14.32810203476871,1669611.3551250866,-1130388.6448749134
Peter Ankersen,2021,29.0,DF,Serie A,1500000.0,12.816724214240967,368325.19141006476,-1131674.8085899353
Matej Kovar,2023,22.0,GK,Premier League,1800000.0,13.412525886451082,668321.3436152728,-1131678.6563847272
Florian Sotoca,2025,33.0,FW,Ligue 1,2500000.0,14.128367555840757,1367324.986526686,-1132675.013473314
Jonas Urbig,2023,18.0,GK,Bundesliga,1500000.0,12.80825606454955,365219.3191416193,-1134780.6808583806
Lorenzo De Silvestri,2020,31.0,DF,Serie A,2500000.0,14.126423659147251,1364669.6277702434,-1135330.3722297566
Cheick Oumar Conde,2025,24.0,MF,Serie A,3000000.0,14.438530100729771,1864548.6376197974,-1135451.3623802026
Kenneth Schmidt,2025,22.0,DF,Bundesliga,1750000.0,13.326329657439961,613127.4017116686,-1136872.5982883314
DÃ©nys Bain,2021,27.0,DF,Ligue 1,1500000.0,12.7969049171946,361097.0897604332,-1138902.9102395668
Frank Onyeka,2022,23.0,MF,Premier League,9000000.0,15.877058631831694,7858124.357561289,-1141875.6424387107
