player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Conor Bradley,2024,20.0,DF,Premier League,15000000.0,16.966937253197145,23369380.794137605,8369380.794137605
Olivier Giroud,2021,33.0,FW,Premier League,4000000.0,16.3301327326031,12361936.243251668,8361936.243251668
Rayan Philippe,2021,19.0,FW,Ligue 1,700000.0,16.018296685405332,9050192.398115894,8350192.398115894
Simon Sohm,2021,19.0,MF,Serie A,4500000.0,16.365983018160698,12813155.05904907,8313155.05904907
Anthony Khelifa,2023,16.0,DF,Ligue 1,150000.0,15.945792301397756,8417236.978922622,8267236.978922622
Daniele Verde,2021,24.0,FW,Serie A,1500000.0,16.091008805980334,9732766.136592073,8232766.136592073
Federico Ravaglia,2024,24.0,GK,Serie A,1000000.0,16.0367478683061,9218729.242412154,8218729.242412154
MÃ¡rk Kosznovszky,2021,18.0,MF,Serie A,100000.0,15.931774380604665,8300067.955340495,8200067.955340495
Hrvoje SmolÄiÄ,2024,23.0,DF,Bundesliga,3000000.0,16.231366050814785,11199346.221977888,8199346.221977888
Ike Ugbo,2022,22.0,FW,Ligue 1,4500000.0,16.355357342289928,12677727.395315899,8177727.395315899
Raoul Bellanova,2020,19.0,DF,Serie A,900000.0,16.018540351233227,9052397.889673408,8152397.889673408
Nikola KaliniÄ,2020,31.0,FW,Serie A,5500000.0,16.425487205855173,13598732.289019661,8098732.289019661
Nikola Vasilj,2025,28.0,GK,Bundesliga,2500000.0,16.175699724384852,10592954.094315462,8092954.094315462
Ayden Heaven,2025,17.0,DF,Premier League,300000.0,15.94231123579923,8387986.96151146,8087986.96151146
Vedad IbiÅ¡eviÄ,2020,34.0,FW,Bundesliga,1000000.0,16.02043043313546,9069523.844616905,8069523.844616905
Francesco Caputo,2020,31.0,FW,Serie A,7500000.0,16.55947718111766,15548537.128132993,8048537.128132993
Oliver Norwood,2020,28.0,MF,Premier League,9000000.0,16.65119508492421,17042061.05947921,8042061.0594792105
David Torres,2023,19.0,DF,La Liga,50000.0,15.90590862059808,8088133.107557469,8038133.107557469
Andrea Papetti,2020,17.0,DF,Serie A,500000.0,15.95926727316084,8531426.646458728,8031426.646458728
Selim Amallah,2025,27.0,MF,La Liga,1800000.0,16.099671038217483,9817439.827977207,8017439.827977207
Timothee Pembele,2021,17.0,DF,Ligue 1,4000000.0,16.301000581040057,12007001.52179688,8007001.52179688
Keinan Davis,2020,21.0,FW,Premier League,2300000.0,16.146001209303606,10282984.656173898,7982984.656173898
Hernani,2021,26.0,MF,Serie A,6500000.0,16.48824943519871,14479571.705513723,7979571.705513723
Marc Cardona,2024,28.0,FW,La Liga,1400000.0,16.049551751799623,9337523.682559878,7937523.682559878
Jordan Amavi,2024,30.0,DF,Ligue 1,1200000.0,16.02751448987218,9134000.983403532,7934000.983403532
Diego Costa,2021,31.0,FW,La Liga,6000000.0,16.445590296588303,13874875.221559608,7874875.221559608
Carlos VinÃ­cius,2024,29.0,FW,Premier League,4000000.0,16.28903407309692,11864175.897082593,7864175.897082593
Fernando NiÃ±o,2021,19.0,FW,La Liga,3000000.0,16.199025906455827,10842951.702953503,7842951.702953503
Borja Iglesias,2021,27.0,FW,La Liga,10000000.0,16.696703364593137,17835533.840753492,7835533.840753492
Zeki Amdouni,2024,23.0,FW,Premier League,12000000.0,16.802808103797492,19832013.895827312,7832013.895827312
Nikola KaliniÄ,2022,33.0,FW,Serie A,800000.0,15.969961499882299,8623153.266400106,7823153.266400106
Wilfried Singo,2020,18.0,DF,Serie A,500000.0,15.934158357172038,8319878.730066349,7819878.730066349
Andrea Schiavone,2022,28.0,MF,Serie A,400000.0,15.91847801128306,8190437.630912121,7790437.630912121
Sacha Boey,2020,18.0,DF,Ligue 1,1800000.0,16.075588485195897,9583834.97947169,7783834.979471689
Keke Maximilian Topp,2023,18.0,FW,Bundesliga,500000.0,15.928698570101774,8274577.737708582,7774577.737708582
Juan Perea,2023,22.0,FW,Bundesliga,2000000.0,16.09421781477947,9764048.838360872,7764048.838360872
Luka Romero,2022,16.0,FW,Serie A,1000000.0,15.981305550610667,8721531.715893487,7721531.7158934865
Rhys Healey,2023,27.0,FW,Ligue 1,2500000.0,16.137677308093142,10197745.353357656,7697745.353357656
Callum Wilson,2024,32.0,FW,Premier League,13000000.0,16.84426654850363,20671500.04470008,7671500.044700079
Mahamadou Nagida,2024,18.0,DF,Ligue 1,500000.0,15.915989877184154,8170084.05298562,7670084.05298562
Dan Gosling,2020,29.0,MF,Premier League,2000000.0,16.08297621843189,9654899.984496558,7654899.984496558
Jordon Ibe,2020,23.0,DF,Premier League,4800000.0,16.337171615265465,12449257.43024765,7649257.43024765
Gonzalo Melero,2022,27.0,MF,La Liga,4000000.0,16.269568124934196,11635461.73566077,7635461.735660771
Arnaut Danjuma,2025,27.0,FW,La Liga,8000000.0,16.56432155608036,15624042.818221064,7624042.818221064
Gabriel Charpentier,2025,25.0,FW,Serie A,1600000.0,16.033770030771457,9191318.194553787,7591318.194553787
Felix Passlack,2021,22.0,DF,Bundesliga,2500000.0,16.12498863834484,10069166.98703001,7569166.987030011
Andrea Poli,2021,30.0,MF,Serie A,1000000.0,15.960707781998636,8543725.099270774,7543725.099270774
Streli Mamba,2020,25.0,FW,Bundesliga,1600000.0,16.024882402118326,9109991.10056013,7509991.100560131
Arijon IbrahimoviÄ,2023,16.0,MF,Bundesliga,1000000.0,15.956080751934888,8504284.338911893,7504284.338911893
William Smallbone,2025,24.0,MF,Premier League,7000000.0,16.489243326843276,14493969.985822618,7493969.985822618
Tim Iroegbunam,2022,18.0,MF,Premier League,2500000.0,16.114712045308853,9966220.122932225,7466220.1229322255
